t,y
2.57E+00,-7.47E-03
2.60E+00,-7.82E-03
2.63E+00,-7.84E-03
2.67E+00,-7.39E-03
2.70E+00,-7.71E-03
2.73E+00,-7.97E-03
2.77E+00,-7.86E-03
2.80E+00,-7.98E-03
2.83E+00,-7.65E-03
2.87E+00,-7.70E-03
2.90E+00,-8.06E-03
2.93E+00,-7.94E-03
2.97E+00,-8.21E-03
3.00E+00,-8.13E-03
3.03E+00,-8.18E-03
3.07E+00,-7.98E-03
3.10E+00,-7.84E-03
3.13E+00,-7.86E-03
3.17E+00,-7.89E-03
3.20E+00,-7.51E-03
3.23E+00,-7.02E-03
3.27E+00,-9.49E-03
3.30E+00,-2.46E-02
3.33E+00,-4.39E-02
3.37E+00,-7.95E-02
3.40E+00,-1.32E-01
3.43E+00,-1.94E-01
3.47E+00,-2.62E-01
3.50E+00,-3.47E-01
3.53E+00,-4.37E-01
3.57E+00,-5.46E-01
3.60E+00,-6.61E-01
3.63E+00,-7.88E-01
3.67E+00,-9.24E-01
3.70E+00,-1.07E+00
