t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-6.08E-04,1.50E-02,,,,,,
1.67E-02,-8.64E-04,1.50E-02,1.65E-03,-2.06E-02,2.07E-02,,,
3.34E-02,-5.53E-04,1.43E-02,7.79E-03,-1.01E-01,1.01E-01,-1.18E-01,-6.10E+00,6.11E+00
5.01E-02,-6.04E-04,1.17E-02,-7.22E-03,-2.29E-01,2.29E-01,-6.45E-02,-8.17E+00,8.17E+00
6.67E-02,-7.94E-04,6.70E-03,3.84E-03,-3.73E-01,3.73E-01,2.04E+00,-7.35E+00,7.63E+00
8.34E-02,-4.76E-04,-7.99E-04,6.00E-02,-4.82E-01,4.86E-01,6.41E+00,-5.74E+00,8.61E+00
1.00E-01,1.21E-03,-9.38E-03,2.12E-01,-5.57E-01,5.96E-01,3.78E+00,-7.73E+00,8.61E+00
1.17E-01,6.58E-03,-1.94E-02,2.26E-01,-7.29E-01,7.63E-01,-2.23E+00,-1.03E+01,1.06E+01
1.33E-01,8.74E-03,-3.37E-02,9.83E-02,-9.23E-01,9.29E-01,-2.02E+00,-9.76E+00,9.97E+00
1.50E-01,9.86E-03,-5.02E-02,1.51E-01,-1.05E+00,1.06E+00,-1.75E+00,-1.13E+01,1.15E+01
1.67E-01,1.38E-02,-6.86E-02,8.90E-02,-1.28E+00,1.29E+00,-4.98E+00,-1.23E+01,1.33E+01
1.84E-01,1.28E-02,-9.30E-02,-6.72E-02,-1.49E+00,1.50E+00,-4.00E+00,-6.70E+00,7.81E+00
2.00E-01,1.15E-02,-1.18E-01,-3.29E-02,-1.50E+00,1.50E+00,1.79E+00,-2.06E+00,2.73E+00
2.17E-01,1.17E-02,-1.43E-01,7.56E-03,-1.54E+00,1.54E+00,-2.16E-01,-4.66E+00,4.66E+00
2.34E-01,1.18E-02,-1.70E-01,-4.13E-02,-1.67E+00,1.67E+00,-5.15E-01,-5.18E+00,5.21E+00
2.50E-01,1.04E-02,-1.99E-01,-2.98E-02,-1.72E+00,1.72E+00,1.98E+00,-4.16E+00,4.61E+00
2.67E-01,1.08E-02,-2.27E-01,4.47E-02,-1.79E+00,1.79E+00,4.21E+00,-6.00E+00,7.33E+00
2.84E-01,1.18E-02,-2.58E-01,1.02E-01,-1.93E+00,1.93E+00,2.82E+00,-4.65E+00,5.44E+00
3.00E-01,1.42E-02,-2.92E-01,1.47E-01,-1.96E+00,1.96E+00,1.10E+00,-2.12E+00,2.39E+00
3.17E-01,1.67E-02,-3.24E-01,1.37E-01,-1.97E+00,1.98E+00,-4.77E-01,-3.98E+00,4.01E+00
3.34E-01,1.88E-02,-3.57E-01,1.25E-01,-2.10E+00,2.10E+00,5.00E-01,-4.99E+00,5.01E+00
3.50E-01,2.09E-02,-3.94E-01,1.53E-01,-2.15E+00,2.16E+00,9.00E-01,-1.32E+00,1.60E+00
3.67E-01,2.39E-02,-4.29E-01,1.64E-01,-2.13E+00,2.14E+00,8.89E-01,-1.63E+00,1.86E+00
3.84E-01,2.64E-02,-4.65E-01,1.72E-01,-2.20E+00,2.21E+00,1.17E+00,-4.62E+00,4.76E+00
4.00E-01,2.96E-02,-5.03E-01,2.09E-01,-2.30E+00,2.31E+00,4.88E-01,-2.05E+00,2.11E+00
4.17E-01,3.34E-02,-5.42E-01,1.94E-01,-2.27E+00,2.28E+00,-1.34E+00,1.79E-01,1.35E+00
4.34E-01,3.61E-02,-5.78E-01,1.55E-01,-2.27E+00,2.27E+00,-6.57E-01,-3.26E+00,3.32E+00
4.50E-01,3.86E-02,-6.17E-01,1.70E-01,-2.39E+00,2.40E+00,1.32E+00,-3.97E+00,4.18E+00
4.67E-01,4.18E-02,-6.58E-01,2.05E-01,-2.42E+00,2.43E+00,3.69E+00,1.12E+00,3.86E+00
4.84E-01,4.54E-02,-6.98E-01,2.84E-01,-2.34E+00,2.35E+00,7.23E+00,-8.80E-02,7.23E+00
5.01E-01,5.13E-02,-7.36E-01,4.50E-01,-2.41E+00,2.45E+00,1.28E+00,-2.57E+00,2.87E+00
5.17E-01,6.04E-02,-7.78E-01,3.71E-01,-2.47E+00,2.49E+00,-1.07E+01,7.56E-01,1.08E+01
5.34E-01,6.36E-02,-8.19E-01,4.72E-02,-2.36E+00,2.36E+00,-1.07E+01,2.96E+00,1.11E+01
5.51E-01,6.20E-02,-8.57E-01,-1.36E-02,-2.35E+00,2.35E+00,9.17E-01,-1.57E+00,1.81E+00
5.67E-01,6.32E-02,-8.97E-01,1.16E-01,-2.43E+00,2.43E+00,5.35E+00,-2.14E+00,5.76E+00
5.84E-01,6.59E-02,-9.38E-01,1.65E-01,-2.43E+00,2.43E+00,5.24E+00,6.30E-01,5.27E+00
6.01E-01,6.87E-02,-9.78E-01,2.71E-01,-2.39E+00,2.41E+00,5.39E+00,-6.17E-02,5.39E+00
6.17E-01,7.49E-02,-1.02E+00,3.74E-01,-2.43E+00,2.46E+00,-6.74E-01,-1.57E+00,1.71E+00
6.34E-01,8.12E-02,-1.06E+00,2.52E-01,-2.46E+00,2.47E+00,-6.58E+00,9.99E-01,6.65E+00
6.51E-01,8.33E-02,-1.10E+00,1.20E-01,-2.40E+00,2.40E+00,-4.02E+00,2.25E+00,4.61E+00
6.67E-01,8.52E-02,-1.14E+00,1.30E-01,-2.37E+00,2.37E+00,1.04E+00,1.05E+01,1.05E+01
6.84E-01,8.77E-02,-1.18E+00,1.60E-01,-2.10E+00,2.11E+00,,,
7.01E-01,9.05E-02,-1.21E+00,,,,,,
