t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-1.82E-03,1.52E-02,,,,,,
1.67E-02,-1.85E-03,1.55E-02,4.56E-03,1.96E-02,2.01E-02,,,
3.34E-02,-1.67E-03,1.58E-02,1.88E-03,2.38E-02,2.38E-02,-2.26E-01,-3.44E-01,4.11E-01
5.01E-02,-1.78E-03,1.63E-02,-6.38E-03,1.26E-02,1.41E-02,-1.85E-01,-1.05E+00,1.07E+00
6.67E-02,-1.88E-03,1.63E-02,-3.31E-03,-1.57E-02,1.60E-02,-1.29E-01,-1.07E+00,1.08E+00
8.34E-02,-1.89E-03,1.58E-02,-8.83E-03,-2.41E-02,2.57E-02,6.92E-02,-9.31E-01,9.33E-01
1.00E-01,-2.18E-03,1.55E-02,-5.38E-03,-4.16E-02,4.19E-02,7.71E-01,-1.82E+00,1.98E+00
1.17E-01,-2.07E-03,1.44E-02,1.95E-02,-8.73E-02,8.95E-02,8.14E-01,-3.57E+00,3.66E+00
1.33E-01,-1.53E-03,1.25E-02,2.50E-02,-1.59E-01,1.61E-01,2.18E-01,-5.81E+00,5.81E+00
1.50E-01,-1.24E-03,9.14E-03,2.20E-02,-2.80E-01,2.81E-01,8.25E-01,-8.20E+00,8.24E+00
1.67E-01,-7.94E-04,3.21E-03,5.14E-02,-4.36E-01,4.39E-01,2.27E+00,-7.75E+00,8.07E+00
1.84E-01,4.78E-04,-5.40E-03,1.01E-01,-5.46E-01,5.55E-01,3.71E+00,-6.85E+00,7.79E+00
2.00E-01,2.56E-03,-1.50E-02,1.72E-01,-6.51E-01,6.73E-01,3.16E+00,-8.65E+00,9.21E+00
2.17E-01,6.21E-03,-2.71E-02,2.16E-01,-8.36E-01,8.63E-01,-1.33E-01,-1.23E+01,1.23E+01
2.34E-01,9.78E-03,-4.29E-02,1.67E-01,-1.07E+00,1.08E+00,-4.27E+00,-1.22E+01,1.29E+01
2.50E-01,1.18E-02,-6.27E-02,6.80E-02,-1.25E+00,1.25E+00,-4.36E+00,-9.42E+00,1.04E+01
2.67E-01,1.20E-02,-8.47E-02,1.37E-02,-1.37E+00,1.37E+00,3.69E-01,-4.72E+00,4.74E+00
2.84E-01,1.22E-02,-1.09E-01,7.74E-02,-1.42E+00,1.42E+00,2.03E+00,-1.96E+00,2.82E+00
3.00E-01,1.46E-02,-1.32E-01,1.06E-01,-1.43E+00,1.43E+00,-1.29E+00,-3.15E+00,3.40E+00
3.17E-01,1.58E-02,-1.56E-01,2.10E-02,-1.52E+00,1.52E+00,-3.14E+00,-6.97E+00,7.64E+00
3.34E-01,1.53E-02,-1.83E-01,-9.20E-03,-1.67E+00,1.67E+00,4.91E-01,-6.61E+00,6.63E+00
3.50E-01,1.55E-02,-2.12E-01,4.41E-02,-1.75E+00,1.75E+00,1.66E+00,-4.19E+00,4.50E+00
3.67E-01,1.68E-02,-2.41E-01,5.72E-02,-1.79E+00,1.79E+00,1.06E+00,-3.84E+00,3.99E+00
3.84E-01,1.74E-02,-2.71E-01,6.39E-02,-1.88E+00,1.88E+00,7.34E-01,-3.96E+00,4.03E+00
4.00E-01,1.89E-02,-3.04E-01,9.33E-02,-1.93E+00,1.94E+00,4.45E-01,-2.32E+00,2.36E+00
4.17E-01,2.05E-02,-3.36E-01,7.69E-02,-1.95E+00,1.95E+00,2.95E-01,-2.45E+00,2.47E+00
4.34E-01,2.15E-02,-3.69E-01,9.37E-02,-2.01E+00,2.01E+00,1.46E+00,-4.39E+00,4.63E+00
4.50E-01,2.36E-02,-4.03E-01,1.36E-01,-2.10E+00,2.11E+00,1.34E+00,-2.56E+00,2.89E+00
4.67E-01,2.60E-02,-4.39E-01,1.37E-01,-2.10E+00,2.11E+00,-6.09E-01,-1.74E+00,1.84E+00
4.84E-01,2.82E-02,-4.73E-01,1.14E-01,-2.13E+00,2.14E+00,-6.41E-01,-3.51E+00,3.57E+00
5.01E-01,2.99E-02,-5.10E-01,1.11E-01,-2.24E+00,2.24E+00,1.57E-01,-2.79E+00,2.80E+00
5.17E-01,3.19E-02,-5.48E-01,1.25E-01,-2.24E+00,2.24E+00,3.07E-01,7.86E-01,8.44E-01
5.34E-01,3.40E-02,-5.85E-01,1.21E-01,-2.20E+00,2.20E+00,1.58E-01,-1.72E+00,1.73E+00
5.51E-01,3.60E-02,-6.21E-01,1.27E-01,-2.29E+00,2.29E+00,6.38E-01,-4.24E+00,4.29E+00
5.67E-01,3.83E-02,-6.61E-01,1.45E-01,-2.36E+00,2.37E+00,-5.58E-01,-1.12E+00,1.25E+00
5.84E-01,4.08E-02,-7.00E-01,1.14E-01,-2.32E+00,2.32E+00,1.04E+01,-1.48E+00,1.05E+01
6.01E-01,4.21E-02,-7.38E-01,4.29E-01,-2.39E+00,2.43E+00,-3.25E+00,-1.70E+00,3.67E+00
6.17E-01,5.51E-02,-7.80E-01,1.96E-01,-2.42E+00,2.43E+00,-1.45E+01,-3.59E+00,1.49E+01
6.34E-01,4.86E-02,-8.19E-01,-2.87E-01,-2.45E+00,2.47E+00,-1.21E+01,-3.52E+00,1.26E+01
6.51E-01,4.56E-02,-8.62E-01,-1.07E-01,-2.58E+00,2.58E+00,1.06E+01,-2.22E+00,1.08E+01
6.67E-01,4.50E-02,-9.05E-01,6.03E-02,-2.52E+00,2.53E+00,8.31E+00,1.11E+01,1.39E+01
6.84E-01,4.76E-02,-9.46E-01,1.81E-01,-2.22E+00,2.23E+00,3.30E+00,1.39E+01,1.42E+01
7.01E-01,5.11E-02,-9.79E-01,1.72E-01,-2.00E+00,2.01E+00,3.14E+00,-3.68E+00,4.84E+00
7.17E-01,5.33E-02,-1.01E+00,2.53E-01,-2.34E+00,2.35E+00,8.37E-01,-1.47E+01,1.48E+01
7.34E-01,5.95E-02,-1.06E+00,2.57E-01,-2.59E+00,2.60E+00,-3.86E+00,-4.91E+00,6.25E+00
7.51E-01,6.19E-02,-1.10E+00,8.16E-02,-2.45E+00,2.45E+00,9.97E+00,5.96E+00,1.16E+01
7.67E-01,6.23E-02,-1.14E+00,5.19E-01,-2.38E+00,2.43E+00,-7.84E+00,5.69E+00,9.68E+00
7.84E-01,7.92E-02,-1.18E+00,1.00E-01,-2.29E+00,2.29E+00,,,
8.01E-01,6.56E-02,-1.22E+00,,,,,,
