t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-1.22E-03,1.40E-02,,,,,,
3.33E-02,-1.59E-03,1.15E-02,2.95E-03,-1.82E-01,1.82E-01,,,
6.67E-02,-1.02E-03,1.84E-03,4.60E-03,-4.43E-01,4.43E-01,2.73E-01,-7.99E+00,8.00E+00
1.00E-01,-1.28E-03,-1.80E-02,1.27E-02,-7.25E-01,7.26E-01,2.58E+00,-7.29E+00,7.74E+00
1.33E-01,-1.76E-04,-4.65E-02,1.65E-01,-9.33E-01,9.47E-01,2.05E+00,-7.43E+00,7.71E+00
1.67E-01,9.75E-03,-8.02E-02,1.99E-01,-1.20E+00,1.21E+00,-1.01E+00,-7.43E+00,7.50E+00
2.00E-01,1.31E-02,-1.26E-01,5.69E-02,-1.46E+00,1.46E+00,-2.85E+00,-6.73E+00,7.31E+00
2.33E-01,1.35E-02,-1.78E-01,1.12E-02,-1.63E+00,1.63E+00,-6.73E-01,-4.66E+00,4.70E+00
2.67E-01,1.38E-02,-2.35E-01,1.62E-02,-1.78E+00,1.78E+00,5.97E-01,-4.24E+00,4.28E+00
3.00E-01,1.46E-02,-2.96E-01,5.01E-02,-1.90E+00,1.90E+00,1.08E+00,-3.96E+00,4.11E+00
3.33E-01,1.72E-02,-3.62E-01,9.21E-02,-2.04E+00,2.05E+00,1.32E+00,-3.13E+00,3.39E+00
3.67E-01,2.08E-02,-4.32E-01,1.35E-01,-2.12E+00,2.13E+00,9.89E-01,-2.61E+00,2.79E+00
4.00E-01,2.61E-02,-5.03E-01,1.63E-01,-2.20E+00,2.21E+00,7.35E-01,-1.44E+00,1.62E+00
4.33E-01,3.16E-02,-5.79E-01,1.79E-01,-2.24E+00,2.25E+00,6.21E-01,-8.50E-01,1.05E+00
4.67E-01,3.81E-02,-6.53E-01,2.06E-01,-2.23E+00,2.24E+00,2.79E+00,-5.80E-01,2.85E+00
5.00E-01,4.54E-02,-7.28E-01,3.48E-01,-2.29E+00,2.31E+00,1.70E+00,-7.80E-01,1.87E+00
5.33E-01,6.13E-02,-8.05E-01,3.69E-01,-2.29E+00,2.32E+00,-1.15E-01,-9.16E-01,9.23E-01
5.67E-01,7.00E-02,-8.81E-01,2.88E-01,-2.33E+00,2.35E+00,-1.68E+00,-6.91E-01,1.82E+00
6.00E-01,8.05E-02,-9.60E-01,2.84E-01,-2.36E+00,2.38E+00,-1.11E-01,-4.64E-01,4.77E-01
6.33E-01,8.89E-02,-1.04E+00,2.67E-01,-2.35E+00,2.36E+00,-4.07E-01,-1.94E-02,4.08E-01
6.67E-01,9.83E-02,-1.12E+00,2.66E-01,-2.37E+00,2.38E+00,,,
7.00E-01,1.07E-01,-1.20E+00,,,,,,
