t,x,y,vx,vy,v,ax,ay,a
1.33E-01,-4.27E-03,3.54E-02,,,,,,
1.50E-01,-4.16E-03,3.56E-02,2.71E-03,1.04E-02,1.08E-02,,,
1.67E-01,-4.18E-03,3.57E-02,6.30E-03,2.11E-03,6.64E-03,2.78E-01,-5.72E-01,6.36E-01
1.84E-01,-3.95E-03,3.57E-02,1.45E-02,-9.01E-03,1.71E-02,2.14E-01,-1.18E+00,1.20E+00
2.00E-01,-3.70E-03,3.54E-02,1.30E-02,-3.53E-02,3.76E-02,-8.01E-01,-8.71E-01,1.18E+00
2.17E-01,-3.52E-03,3.45E-02,-1.01E-02,-4.47E-02,4.59E-02,-4.31E-01,1.21E-02,4.31E-01
2.34E-01,-4.03E-03,3.39E-02,-9.92E-03,-2.94E-02,3.10E-02,3.81E-01,2.46E-01,4.54E-01
2.50E-01,-3.85E-03,3.35E-02,1.15E-02,-3.55E-02,3.73E-02,5.61E-01,-1.50E-02,5.61E-01
2.67E-01,-3.65E-03,3.28E-02,6.77E-03,-3.49E-02,3.56E-02,-4.20E-01,6.39E-01,7.65E-01
2.84E-01,-3.62E-03,3.24E-02,-3.45E-03,-1.14E-02,1.19E-02,1.40E-01,1.03E+00,1.04E+00
3.00E-01,-3.76E-03,3.24E-02,8.39E-03,1.47E-03,8.52E-03,2.50E-02,2.53E-01,2.54E-01
3.17E-01,-3.34E-03,3.24E-02,5.65E-03,-3.96E-03,6.90E-03,-1.81E-01,-1.32E+00,1.33E+00
3.34E-01,-3.58E-03,3.22E-02,-6.65E-03,-3.98E-02,4.04E-02,-9.86E-02,-3.50E+00,3.51E+00
3.50E-01,-3.57E-03,3.11E-02,6.37E-03,-1.21E-01,1.22E-01,7.41E-01,-5.32E+00,5.37E+00
3.67E-01,-3.36E-03,2.82E-02,1.79E-02,-2.21E-01,2.21E-01,1.74E+00,-8.17E+00,8.36E+00
3.84E-01,-2.97E-03,2.37E-02,6.01E-02,-3.84E-01,3.89E-01,6.61E-01,-1.11E+01,1.11E+01
4.00E-01,-1.36E-03,1.54E-02,5.54E-02,-6.02E-01,6.04E-01,-1.82E+00,-1.18E+01,1.19E+01
4.17E-01,-1.12E-03,3.63E-03,-1.37E-02,-7.79E-01,7.79E-01,-2.02E+00,-1.13E+01,1.15E+01
4.34E-01,-1.82E-03,-1.06E-02,-1.75E-02,-9.70E-01,9.70E-01,-8.15E-01,-1.09E+01,1.09E+01
4.50E-01,-1.70E-03,-2.87E-02,-2.54E-02,-1.15E+00,1.15E+00,-1.23E+00,-1.18E+01,1.18E+01
4.67E-01,-2.66E-03,-4.91E-02,-6.95E-02,-1.35E+00,1.35E+00,-6.02E-01,-9.18E+00,9.20E+00
4.84E-01,-4.02E-03,-7.37E-02,-4.90E-02,-1.48E+00,1.49E+00,6.82E-01,-7.05E+00,7.08E+00
5.01E-01,-4.30E-03,-9.87E-02,-3.33E-02,-1.56E+00,1.56E+00,-4.37E-02,-8.61E+00,8.61E+00
5.17E-01,-5.14E-03,-1.26E-01,-5.87E-02,-1.77E+00,1.77E+00,-2.99E+00,-1.04E+01,1.08E+01
5.34E-01,-6.26E-03,-1.58E-01,-1.25E-01,-1.94E+00,1.94E+00,-2.33E+00,-1.03E+01,1.05E+01
5.51E-01,-9.30E-03,-1.90E-01,-1.55E-01,-2.08E+00,2.08E+00,-3.70E-01,-5.41E+00,5.42E+00
5.67E-01,-1.14E-02,-2.27E-01,-1.22E-01,-2.15E+00,2.16E+00,1.24E-01,-4.31E+00,4.31E+00
5.84E-01,-1.34E-02,-2.62E-01,-1.49E-01,-2.18E+00,2.19E+00,-2.71E+00,-5.57E+00,6.19E+00
6.01E-01,-1.64E-02,-3.00E-01,-2.18E-01,-2.35E+00,2.36E+00,-2.69E+00,-7.68E+00,8.14E+00
6.17E-01,-2.06E-02,-3.41E-01,-2.45E-01,-2.46E+00,2.47E+00,-9.87E-01,-3.91E+00,4.03E+00
6.34E-01,-2.46E-02,-3.82E-01,-2.42E-01,-2.47E+00,2.48E+00,5.35E-01,-4.11E+00,4.14E+00
6.51E-01,-2.87E-02,-4.23E-01,-2.32E-01,-2.58E+00,2.59E+00,1.51E+00,-5.56E+00,5.76E+00
6.67E-01,-3.24E-02,-4.68E-01,-1.91E-01,-2.68E+00,2.69E+00,1.96E+00,-3.04E+00,3.62E+00
6.84E-01,-3.51E-02,-5.13E-01,-1.62E-01,-2.67E+00,2.67E+00,1.48E+00,-1.27E+00,1.95E+00
7.01E-01,-3.78E-02,-5.57E-01,-1.47E-01,-2.71E+00,2.72E+00,1.74E+00,-3.03E+00,3.50E+00
7.17E-01,-4.00E-02,-6.03E-01,-1.05E-01,-2.79E+00,2.79E+00,2.82E+00,-1.75E+00,3.32E+00
7.34E-01,-4.12E-02,-6.50E-01,-4.99E-02,-2.77E+00,2.77E+00,1.90E+00,-1.00E+00,2.15E+00
7.51E-01,-4.16E-02,-6.96E-01,-3.61E-02,-2.80E+00,2.80E+00,6.26E-01,-2.82E+00,2.89E+00
7.67E-01,-4.24E-02,-7.43E-01,-3.77E-02,-2.88E+00,2.88E+00,1.07E+00,-9.15E-01,1.41E+00
7.84E-01,-4.29E-02,-7.92E-01,4.04E-04,-2.84E+00,2.84E+00,3.15E+00,8.56E-01,3.26E+00
8.01E-01,-4.24E-02,-8.38E-01,6.80E-02,-2.83E+00,2.83E+00,2.21E+00,-2.60E+00,3.41E+00
8.17E-01,-4.06E-02,-8.86E-01,8.48E-02,-2.94E+00,2.94E+00,2.01E+00,-2.99E+00,3.60E+00
8.34E-01,-3.96E-02,-9.36E-01,1.15E-01,-2.94E+00,2.95E+00,1.53E+00,1.40E+00,2.07E+00
8.51E-01,-3.68E-02,-9.84E-01,1.56E-01,-2.87E+00,2.88E+00,1.42E+00,-6.10E-01,1.54E+00
8.68E-01,-3.44E-02,-1.03E+00,1.50E-01,-2.96E+00,2.96E+00,-5.05E-01,-3.77E+00,3.80E+00
8.84E-01,-3.18E-02,-1.08E+00,1.45E-01,-3.03E+00,3.03E+00,1.03E+00,-9.48E-01,1.40E+00
9.01E-01,-2.96E-02,-1.13E+00,1.74E-01,-2.97E+00,2.98E+00,3.01E+00,8.13E-02,3.01E+00
9.18E-01,-2.60E-02,-1.18E+00,2.53E-01,-3.01E+00,3.02E+00,1.38E+00,-4.48E+00,4.69E+00
9.34E-01,-2.11E-02,-1.23E+00,2.33E-01,-3.14E+00,3.15E+00,2.78E+00,-2.12E+00,3.50E+00
9.51E-01,-1.82E-02,-1.29E+00,3.06E-01,-3.10E+00,3.11E+00,1.57E+00,4.01E-01,1.62E+00
9.68E-01,-1.09E-02,-1.34E+00,3.44E-01,-3.08E+00,3.10E+00,1.77E+00,-1.25E+00,2.17E+00
9.84E-01,-6.70E-03,-1.39E+00,3.12E-01,-3.17E+00,3.19E+00,-6.22E-01,-2.11E+00,2.20E+00
1.00E+00,-5.06E-04,-1.44E+00,3.56E-01,-3.15E+00,3.17E+00,2.76E+00,1.13E+00,2.98E+00
1.02E+00,5.17E-03,-1.49E+00,3.84E-01,-3.12E+00,3.14E+00,-6.49E-01,-1.37E+00,1.52E+00
1.03E+00,1.23E-02,-1.55E+00,3.59E-01,-3.20E+00,3.22E+00,5.35E-01,-2.11E+00,2.17E+00
1.05E+00,1.71E-02,-1.60E+00,3.65E-01,-3.21E+00,3.23E+00,-2.79E+00,-4.30E-01,2.83E+00
1.07E+00,2.45E-02,-1.65E+00,3.15E-01,-3.19E+00,3.20E+00,-4.84E+00,-9.64E-01,4.93E+00
1.08E+00,2.77E-02,-1.71E+00,1.61E-01,-3.25E+00,3.26E+00,-1.96E-01,-5.82E-01,6.14E-01
1.10E+00,2.99E-02,-1.76E+00,2.95E-01,-3.23E+00,3.24E+00,3.10E+00,4.46E+00,5.43E+00
1.12E+00,3.75E-02,-1.82E+00,3.33E-01,-3.08E+00,3.10E+00,1.74E+00,4.04E+00,4.40E+00
1.13E+00,4.10E-02,-1.87E+00,2.84E-01,-3.07E+00,3.09E+00,-1.78E-01,-1.10E+00,1.11E+00
1.15E+00,4.70E-02,-1.92E+00,3.66E-01,-3.15E+00,3.17E+00,6.77E+00,-1.83E+00,7.02E+00
1.17E+00,5.32E-02,-1.97E+00,4.84E-01,-3.13E+00,3.17E+00,4.35E+00,-1.25E+00,4.52E+00
1.18E+00,6.31E-02,-2.02E+00,5.49E-01,-3.17E+00,3.22E+00,1.35E+00,-3.33E+00,3.59E+00
1.20E+00,7.15E-02,-2.08E+00,5.00E-01,-3.26E+00,3.30E+00,-1.37E+00,-6.45E-01,1.52E+00
1.22E+00,7.98E-02,-2.13E+00,5.08E-01,-3.20E+00,3.24E+00,-3.34E-01,4.23E+00,4.24E+00
1.23E+00,8.85E-02,-2.18E+00,4.95E-01,-3.09E+00,3.13E+00,-1.28E+00,2.31E+00,2.64E+00
1.25E+00,9.63E-02,-2.23E+00,4.59E-01,-3.13E+00,3.16E+00,-3.20E+00,5.10E-01,3.24E+00
1.27E+00,1.04E-01,-2.29E+00,3.95E-01,-3.11E+00,3.13E+00,-5.77E+00,3.05E+00,6.53E+00
1.28E+00,1.10E-01,-2.34E+00,2.65E-01,-3.00E+00,3.01E+00,,,
1.30E+00,1.13E-01,-2.39E+00,,,,,,
