t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-4.25E-03,3.04E-02,,,,,,
1.67E-02,-4.31E-03,3.10E-02,3.21E-04,4.26E-02,4.26E-02,,,
3.34E-02,-4.24E-03,3.18E-02,-1.69E-03,5.54E-02,5.54E-02,-5.54E-01,-1.67E+00,1.76E+00
5.01E-02,-4.37E-03,3.29E-02,-1.88E-02,-1.29E-03,1.89E-02,-2.13E-01,-4.41E+00,4.42E+00
6.67E-02,-4.87E-03,3.18E-02,-1.35E-02,-1.07E-01,1.08E-01,1.11E+00,-4.13E+00,4.28E+00
8.34E-02,-4.82E-03,2.93E-02,2.19E-02,-1.41E-01,1.43E-01,2.23E+00,-3.54E+00,4.18E+00
1.00E-01,-4.14E-03,2.70E-02,6.11E-02,-2.08E-01,2.17E-01,2.05E+00,-8.57E+00,8.81E+00
1.17E-01,-2.78E-03,2.24E-02,9.18E-02,-4.27E-01,4.37E-01,5.71E-01,-1.35E+01,1.35E+01
1.33E-01,-1.08E-03,1.28E-02,8.29E-02,-6.75E-01,6.80E-01,1.60E+01,-2.11E+00,1.61E+01
1.50E-01,-1.34E-05,-1.36E-04,5.49E-01,-5.38E-01,7.69E-01,6.51E+00,-7.76E+00,1.01E+01
1.67E-01,1.72E-02,-5.17E-03,5.16E-01,-7.83E-01,9.38E-01,-1.05E+01,-2.26E+01,2.49E+01
1.84E-01,1.72E-02,-2.63E-02,-1.57E-02,-1.44E+00,1.44E+00,-1.61E+01,-2.80E+01,3.23E+01
2.00E-01,1.67E-02,-5.32E-02,3.88E-02,-1.69E+00,1.69E+00,2.95E+00,-1.70E+01,1.72E+01
2.17E-01,1.85E-02,-8.26E-02,1.04E-01,-1.97E+00,1.97E+00,1.17E+00,-2.13E+01,2.13E+01
2.34E-01,2.02E-02,-1.19E-01,7.20E-02,-2.41E+00,2.41E+00,-5.31E+00,-2.41E+01,2.47E+01
2.50E-01,2.09E-02,-1.63E-01,-6.57E-02,-2.79E+00,2.79E+00,-8.24E+00,-2.34E+01,2.48E+01
2.67E-01,1.80E-02,-2.12E-01,-2.22E-01,-3.17E+00,3.18E+00,6.19E+00,-2.53E+01,2.60E+01
2.84E-01,1.35E-02,-2.69E-01,9.05E-02,-3.64E+00,3.65E+00,2.20E+01,-1.70E+01,2.78E+01
3.00E-01,2.10E-02,-3.34E-01,6.01E-01,-3.79E+00,3.84E+00,1.82E+01,1.51E+01,2.37E+01
3.17E-01,3.35E-02,-3.95E-01,6.97E-01,-3.15E+00,3.23E+00,-4.89E+00,1.81E+01,1.87E+01
3.34E-01,4.43E-02,-4.39E-01,4.32E-01,-2.99E+00,3.02E+00,-2.29E+01,-1.25E+01,2.61E+01
3.50E-01,4.80E-02,-4.95E-01,-7.68E-02,-3.70E+00,3.71E+00,-1.60E+01,-1.83E+01,2.43E+01
3.67E-01,4.17E-02,-5.62E-01,-1.84E-01,-3.69E+00,3.70E+00,1.13E-01,9.46E+00,9.46E+00
3.84E-01,4.18E-02,-6.18E-01,2.16E-02,-3.26E+00,3.26E+00,1.08E+01,9.61E+00,1.45E+01
4.00E-01,4.24E-02,-6.71E-01,1.39E-01,-3.37E+00,3.37E+00,8.00E+00,-1.01E+01,1.29E+01
4.17E-01,4.64E-02,-7.31E-01,3.06E-01,-3.65E+00,3.67E+00,6.74E+00,-1.43E+01,1.58E+01
4.34E-01,5.26E-02,-7.93E-01,3.68E-01,-3.83E+00,3.84E+00,3.91E+00,-1.51E+01,1.56E+01
4.50E-01,5.87E-02,-8.58E-01,4.19E-01,-4.14E+00,4.16E+00,3.19E+00,-1.54E+01,1.57E+01
