t,x,y,vx,vy,v,ax,ay,a
2.67E-01,-7.32E-03,2.81E-02,,,,,,
2.84E-01,-7.67E-03,2.75E-02,-1.31E-02,-6.07E-02,6.21E-02,,,
3.00E-01,-7.76E-03,2.60E-02,5.92E-05,-1.02E-01,1.02E-01,2.39E+00,-3.01E+00,3.85E+00
3.17E-01,-7.67E-03,2.41E-02,5.94E-02,-1.55E-01,1.66E-01,3.42E+00,-6.37E+00,7.23E+00
3.34E-01,-5.78E-03,2.09E-02,1.27E-01,-3.08E-01,3.33E-01,2.26E+00,-1.22E+01,1.24E+01
3.50E-01,-3.43E-03,1.39E-02,1.32E-01,-5.68E-01,5.83E-01,-1.25E+00,-1.39E+01,1.40E+01
3.67E-01,-1.37E-03,1.93E-03,8.64E-02,-7.88E-01,7.93E-01,-9.20E-01,-1.58E+01,1.58E+01
3.84E-01,-5.48E-04,-1.25E-02,8.66E-02,-1.07E+00,1.07E+00,-8.56E-01,-1.73E+01,1.74E+01
4.00E-01,1.52E-03,-3.36E-02,8.02E-02,-1.40E+00,1.40E+00,-1.04E+00,-1.75E+01,1.75E+01
4.17E-01,2.13E-03,-5.90E-02,3.42E-02,-1.64E+00,1.64E+00,-9.30E-01,-1.27E+01,1.28E+01
4.34E-01,2.66E-03,-8.83E-02,5.20E-02,-1.83E+00,1.83E+00,8.40E-01,-1.40E+01,1.40E+01
4.50E-01,3.86E-03,-1.20E-01,6.86E-02,-2.08E+00,2.08E+00,-1.42E+00,-1.26E+01,1.26E+01
4.67E-01,4.95E-03,-1.58E-01,8.94E-03,-2.29E+00,2.29E+00,-3.59E+00,-9.63E+00,1.03E+01
4.84E-01,4.16E-03,-1.96E-01,-6.46E-02,-2.37E+00,2.37E+00,-2.22E+00,-6.69E+00,7.05E+00
5.01E-01,2.80E-03,-2.37E-01,-6.44E-02,-2.52E+00,2.52E+00,-3.75E-01,-3.49E+00,3.51E+00
5.17E-01,2.01E-03,-2.80E-01,-6.69E-02,-2.51E+00,2.51E+00,7.74E-01,-1.55E+00,1.73E+00
5.34E-01,5.65E-04,-3.21E-01,-5.17E-02,-2.52E+00,2.52E+00,-3.41E-01,-5.30E+00,5.31E+00
5.51E-01,2.85E-04,-3.64E-01,-5.94E-02,-2.71E+00,2.71E+00,-7.40E-01,-8.06E+00,8.09E+00
5.67E-01,-1.42E-03,-4.11E-01,-9.46E-02,-2.81E+00,2.81E+00,-8.81E-01,-2.60E+00,2.75E+00
5.84E-01,-2.87E-03,-4.58E-01,-8.14E-02,-2.78E+00,2.79E+00,3.85E-01,-1.99E+00,2.02E+00
6.01E-01,-4.13E-03,-5.04E-01,-8.05E-02,-2.86E+00,2.86E+00,5.89E-01,-4.86E+00,4.89E+00
6.17E-01,-5.56E-03,-5.53E-01,-6.66E-02,-2.97E+00,2.97E+00,6.64E-01,-3.14E+00,3.21E+00
6.34E-01,-6.36E-03,-6.03E-01,-5.18E-02,-2.96E+00,2.96E+00,4.55E-01,1.93E-01,4.94E-01
6.51E-01,-7.29E-03,-6.52E-01,-5.53E-02,-2.95E+00,2.95E+00,-3.73E-01,-1.28E+00,1.34E+00
6.67E-01,-8.20E-03,-7.02E-01,-6.25E-02,-3.01E+00,3.01E+00,3.35E-01,-1.21E+00,1.25E+00
6.84E-01,-9.37E-03,-7.52E-01,-4.93E-02,-3.00E+00,3.00E+00,1.96E-01,6.95E-01,7.22E-01
7.01E-01,-9.85E-03,-8.02E-01,-4.64E-02,-2.97E+00,2.97E+00,-1.32E+00,-9.93E-01,1.65E+00
7.17E-01,-1.09E-02,-8.51E-01,-9.68E-02,-3.04E+00,3.04E+00,-1.19E+00,-3.05E+00,3.27E+00
7.34E-01,-1.31E-02,-9.03E-01,-9.73E-02,-3.09E+00,3.09E+00,2.61E+00,5.68E-01,2.68E+00
7.51E-01,-1.42E-02,-9.54E-01,-4.43E-03,-3.01E+00,3.01E+00,1.21E-01,-3.60E+00,3.60E+00
7.67E-01,-1.32E-02,-1.00E+00,-6.34E-02,-3.16E+00,3.16E+00,-4.88E+00,-4.92E+00,6.93E+00
7.84E-01,-1.63E-02,-1.06E+00,-2.07E-01,-3.26E+00,3.27E+00,-4.70E+00,1.02E+00,4.81E+00
8.01E-01,-2.01E-02,-1.11E+00,-2.13E-01,-3.08E+00,3.08E+00,-9.59E-01,6.15E+00,6.22E+00
8.17E-01,-2.34E-02,-1.16E+00,-2.26E-01,-3.04E+00,3.05E+00,-7.26E-01,9.95E-01,1.23E+00
8.34E-01,-2.77E-02,-1.21E+00,-2.49E-01,-3.07E+00,3.08E+00,1.37E+00,1.80E+00,2.26E+00
8.51E-01,-3.17E-02,-1.26E+00,-1.82E-01,-2.98E+00,2.99E+00,2.65E+00,2.95E+00,3.96E+00
8.68E-01,-3.37E-02,-1.31E+00,-1.42E-01,-2.95E+00,2.95E+00,-2.72E+00,-2.28E+00,3.55E+00
8.84E-01,-3.64E-02,-1.36E+00,-2.71E-01,-3.07E+00,3.08E+00,-2.97E+00,-2.64E+00,3.97E+00
9.01E-01,-4.28E-02,-1.42E+00,-2.84E-01,-3.07E+00,3.08E+00,1.59E+00,1.17E+00,1.98E+00
9.18E-01,-4.59E-02,-1.47E+00,-1.76E-01,-2.99E+00,3.00E+00,4.24E+00,4.92E-01,4.27E+00
9.34E-01,-4.87E-02,-1.52E+00,-1.55E-01,-3.06E+00,3.06E+00,1.63E-01,-1.67E+00,1.68E+00
9.51E-01,-5.11E-02,-1.57E+00,-1.66E-01,-3.07E+00,3.07E+00,2.76E+00,1.41E+00,3.10E+00
9.68E-01,-5.42E-02,-1.62E+00,-8.56E-02,-2.99E+00,2.99E+00,3.00E+00,-2.15E+00,3.69E+00
9.84E-01,-5.39E-02,-1.67E+00,-2.69E-02,-3.12E+00,3.12E+00,1.60E+00,-4.47E+00,4.74E+00
1.00E+00,-5.51E-02,-1.72E+00,-6.11E-02,-3.20E+00,3.20E+00,1.11E+00,1.79E+00,2.10E+00
1.02E+00,-5.60E-02,-1.77E+00,1.07E-02,-3.03E+00,3.03E+00,2.71E+00,6.67E+00,7.20E+00
1.03E+00,-5.48E-02,-1.82E+00,4.89E-02,-2.95E+00,2.95E+00,1.71E+00,2.55E+00,3.08E+00
1.05E+00,-5.43E-02,-1.87E+00,4.90E-02,-2.97E+00,2.97E+00,2.68E+00,2.76E+00,3.85E+00
1.07E+00,-5.31E-02,-1.92E+00,1.39E-01,-2.87E+00,2.87E+00,2.50E+00,2.48E+00,3.52E+00
1.08E+00,-4.97E-02,-1.97E+00,1.55E-01,-2.85E+00,2.86E+00,-1.56E+00,-3.80E+00,4.10E+00
1.10E+00,-4.79E-02,-2.02E+00,6.83E-02,-3.01E+00,3.01E+00,-5.02E-01,-4.21E+00,4.24E+00
1.12E+00,-4.74E-02,-2.07E+00,1.22E-01,-3.02E+00,3.02E+00,3.68E+00,1.18E+00,3.86E+00
1.13E+00,-4.39E-02,-2.12E+00,2.21E-01,-2.94E+00,2.95E+00,3.90E+00,4.57E-02,3.91E+00
1.15E+00,-4.00E-02,-2.17E+00,2.40E-01,-3.02E+00,3.03E+00,1.74E+00,-2.61E+00,3.14E+00
1.17E+00,-3.58E-02,-2.22E+00,2.77E-01,-3.05E+00,3.07E+00,2.62E+00,5.97E-01,2.68E+00
1.18E+00,-3.08E-02,-2.27E+00,3.30E-01,-2.98E+00,3.00E+00,5.85E-01,-6.01E-01,8.39E-01
1.20E+00,-2.48E-02,-2.32E+00,3.08E-01,-3.06E+00,3.07E+00,1.78E+01,-1.47E+00,1.78E+01
1.22E+00,-2.05E-02,-2.37E+00,8.25E-01,-3.08E+00,3.18E+00,,,
1.23E+00,2.68E-03,-2.42E+00,,,,,,
