t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-6.08E-04,1.61E-02,,,,,,
1.67E-02,-7.03E-04,1.64E-02,-1.58E-03,4.12E-03,4.41E-03,,,
3.34E-02,-6.60E-04,1.62E-02,-5.93E-03,-7.91E-04,5.99E-03,-1.74E-02,-3.42E-01,3.43E-01
5.01E-02,-9.01E-04,1.63E-02,-6.33E-03,-2.56E-03,6.83E-03,-1.80E-01,-3.04E-01,3.53E-01
6.67E-02,-8.72E-04,1.62E-02,-7.13E-03,-1.39E-02,1.56E-02,9.60E-02,9.16E-02,1.33E-01
8.34E-02,-1.14E-03,1.59E-02,-7.98E-03,-1.34E-03,8.09E-03,2.00E-02,5.02E-01,5.03E-01
1.00E-01,-1.14E-03,1.61E-02,-2.53E-03,8.52E-03,8.88E-03,3.99E-02,2.73E-01,2.76E-01
1.17E-01,-1.22E-03,1.62E-02,-8.11E-03,3.86E-03,8.98E-03,-2.29E-01,-2.26E-01,3.21E-01
1.33E-01,-1.41E-03,1.62E-02,-1.07E-02,2.37E-03,1.10E-02,-6.37E-02,-1.83E-01,1.94E-01
1.50E-01,-1.58E-03,1.62E-02,-9.77E-03,-2.70E-03,1.01E-02,8.98E-02,-1.22E-01,1.52E-01
1.67E-01,-1.73E-03,1.61E-02,-7.81E-03,-2.54E-03,8.21E-03,2.32E-01,1.10E-01,2.57E-01
1.84E-01,-1.84E-03,1.62E-02,-2.28E-03,1.94E-03,3.00E-03,3.06E-01,2.38E-01,3.88E-01
2.00E-01,-1.81E-03,1.62E-02,3.16E-03,5.25E-03,6.13E-03,2.28E-01,-5.21E-02,2.34E-01
2.17E-01,-1.74E-03,1.63E-02,5.05E-03,1.25E-03,5.20E-03,9.97E-02,-2.73E-01,2.91E-01
2.34E-01,-1.64E-03,1.63E-02,6.34E-03,-5.55E-03,8.43E-03,5.59E-02,-1.58E-01,1.68E-01
2.50E-01,-1.52E-03,1.61E-02,7.06E-03,-3.94E-03,8.09E-03,-2.08E-01,2.74E-01,3.44E-01
2.67E-01,-1.41E-03,1.61E-02,2.56E-04,3.82E-03,3.83E-03,-3.53E-03,-7.53E-02,7.53E-02
2.84E-01,-1.51E-03,1.63E-02,3.57E-03,-3.63E-03,5.10E-03,8.23E-01,-2.35E-01,8.56E-01
3.00E-01,-1.29E-03,1.60E-02,2.93E-02,-9.26E-03,3.07E-02,1.13E+00,-4.56E-01,1.22E+00
3.17E-01,-5.37E-04,1.60E-02,4.44E-02,-1.35E-02,4.64E-02,3.79E-01,-3.09E+00,3.12E+00
3.34E-01,1.94E-04,1.55E-02,4.01E-02,-1.05E-01,1.12E-01,1.20E+01,-2.74E+00,1.24E+01
3.50E-01,8.02E-04,1.25E-02,3.94E-01,-1.34E-01,4.16E-01,4.48E+00,-4.86E+00,6.61E+00
3.67E-01,1.34E-02,1.11E-02,3.50E-01,-2.21E-01,4.14E-01,-1.03E+01,-2.13E+01,2.37E+01
3.84E-01,1.25E-02,5.07E-03,-1.07E-01,-8.26E-01,8.33E-01,-1.79E+01,-2.57E+01,3.13E+01
4.00E-01,9.77E-03,-1.65E-02,-2.01E-01,-1.20E+00,1.22E+00,8.14E-01,-1.08E+01,1.08E+01
4.17E-01,5.78E-03,-3.51E-02,-1.03E-01,-1.10E+00,1.10E+00,5.49E+00,-1.96E-01,5.50E+00
4.34E-01,6.34E-03,-5.31E-02,2.78E-02,-1.20E+00,1.20E+00,5.41E+00,-6.75E+00,8.65E+00
4.50E-01,6.71E-03,-7.52E-02,5.23E-02,-1.36E+00,1.36E+00,1.27E+01,-1.91E+00,1.28E+01
4.67E-01,8.08E-03,-9.84E-02,4.13E-01,-1.27E+00,1.34E+00,5.63E+00,-8.13E-01,5.69E+00
4.84E-01,2.05E-02,-1.18E-01,3.82E-01,-1.32E+00,1.38E+00,-9.53E+00,-4.93E+00,1.07E+01
5.01E-01,2.08E-02,-1.42E-01,-4.58E-02,-1.50E+00,1.50E+00,-1.64E+01,-8.62E+00,1.85E+01
5.17E-01,1.90E-02,-1.68E-01,-1.29E-01,-1.58E+00,1.58E+00,-2.06E-01,-5.85E+00,5.86E+00
5.34E-01,1.65E-02,-1.95E-01,-6.06E-02,-1.70E+00,1.71E+00,8.86E+00,-7.03E+00,1.13E+01
5.51E-01,1.70E-02,-2.25E-01,1.72E-01,-1.81E+00,1.82E+00,6.16E+00,-5.15E+00,8.03E+00
5.67E-01,2.23E-02,-2.56E-01,1.93E-01,-1.88E+00,1.89E+00,9.95E-01,-2.03E+00,2.26E+00
5.84E-01,2.34E-02,-2.87E-01,1.38E-01,-1.88E+00,1.89E+00,-7.88E-01,-3.86E-01,8.77E-01
6.01E-01,2.69E-02,-3.18E-01,2.06E-01,-1.88E+00,1.89E+00,2.37E+00,-1.93E+00,3.06E+00
6.17E-01,3.03E-02,-3.50E-01,2.05E-01,-1.95E+00,1.96E+00,-2.62E-01,-4.08E+00,4.08E+00
6.34E-01,3.37E-02,-3.83E-01,2.00E-01,-2.02E+00,2.03E+00,-7.51E-01,-2.84E+00,2.94E+00
6.51E-01,3.69E-02,-4.18E-01,1.79E-01,-2.05E+00,2.05E+00,-5.09E-01,-1.64E+00,1.72E+00
6.67E-01,3.97E-02,-4.52E-01,1.79E-01,-2.07E+00,2.07E+00,-1.96E+00,-3.36E+00,3.89E+00
6.84E-01,4.29E-02,-4.87E-01,1.28E-01,-2.16E+00,2.16E+00,-3.47E+00,-3.18E+00,4.71E+00
7.01E-01,4.40E-02,-5.24E-01,4.58E-02,-2.19E+00,2.19E+00,-1.46E+00,-9.73E-02,1.46E+00
7.17E-01,4.44E-02,-5.60E-01,7.61E-02,-2.15E+00,2.15E+00,3.44E+00,-1.11E+00,3.61E+00
7.34E-01,4.65E-02,-5.95E-01,1.71E-01,-2.22E+00,2.22E+00,4.06E+00,-5.21E+00,6.61E+00
7.51E-01,5.01E-02,-6.34E-01,2.17E-01,-2.34E+00,2.35E+00,1.28E+01,-1.98E+00,1.30E+01
7.67E-01,5.38E-02,-6.73E-01,5.46E-01,-2.30E+00,2.36E+00,6.20E+00,1.19E+01,1.34E+01
7.84E-01,6.83E-02,-7.10E-01,5.62E-01,-1.95E+00,2.03E+00,-6.09E+00,7.99E+00,1.01E+01
8.01E-01,7.25E-02,-7.38E-01,2.13E-01,-1.93E+00,1.94E+00,-1.14E+01,-4.18E+00,1.21E+01
8.17E-01,7.54E-02,-7.75E-01,2.10E-01,-2.19E+00,2.20E+00,-5.67E-01,-1.26E+01,1.26E+01
8.34E-01,7.95E-02,-8.12E-01,2.14E-01,-2.31E+00,2.32E+00,-1.55E+00,-6.67E+00,6.85E+00
8.51E-01,8.26E-02,-8.52E-01,1.49E-01,-2.44E+00,2.44E+00,-1.34E+00,-1.72E+00,2.18E+00
8.68E-01,8.45E-02,-8.93E-01,1.58E-01,-2.37E+00,2.38E+00,1.28E+00,4.86E+00,5.03E+00
8.84E-01,8.79E-02,-9.31E-01,2.08E-01,-2.25E+00,2.26E+00,-2.87E-01,3.73E+00,3.74E+00
9.01E-01,9.14E-02,-9.68E-01,1.53E-01,-2.25E+00,2.25E+00,-4.92E-01,-3.61E-03,4.92E-01
9.18E-01,9.30E-02,-1.01E+00,1.63E-01,-2.26E+00,2.27E+00,-2.37E+00,5.51E-01,2.44E+00
9.34E-01,9.69E-02,-1.04E+00,1.19E-01,-2.22E+00,2.23E+00,-6.78E-01,-1.80E+00,1.93E+00
