t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-6.53E-03,1.59E-02,,,,,,
1.67E-02,-6.24E-03,1.66E-02,-1.05E-03,1.66E-02,1.66E-02,,,
3.34E-02,-6.57E-03,1.65E-02,-1.46E-02,-6.58E-02,6.74E-02,-2.08E-01,-5.21E+00,5.22E+00
5.01E-02,-6.73E-03,1.44E-02,-4.72E-03,-1.66E-01,1.66E-01,6.20E-01,-6.95E+00,6.98E+00
6.67E-02,-6.72E-03,1.10E-02,6.03E-03,-2.88E-01,2.88E-01,6.81E-01,-7.15E+00,7.18E+00
8.34E-02,-6.53E-03,4.77E-03,1.80E-02,-4.16E-01,4.16E-01,7.01E-01,-6.48E+00,6.52E+00
1.00E-01,-6.12E-03,-2.92E-03,2.96E-02,-5.00E-01,5.01E-01,1.32E+00,-6.75E+00,6.88E+00
1.17E-01,-5.54E-03,-1.19E-02,5.91E-02,-6.33E-01,6.36E-01,1.25E+01,-2.27E+00,1.27E+01
1.33E-01,-4.15E-03,-2.40E-02,4.06E-01,-6.13E-01,7.36E-01,8.95E+00,-4.12E+00,9.85E+00
1.50E-01,8.01E-03,-3.24E-02,4.82E-01,-6.97E-01,8.47E-01,-3.55E+00,-1.15E+01,1.20E+01
1.67E-01,1.19E-02,-4.73E-02,1.79E-01,-1.05E+00,1.06E+00,-1.20E+01,-1.72E+01,2.10E+01
1.84E-01,1.40E-02,-6.73E-02,1.03E-01,-1.28E+00,1.28E+00,-4.17E+00,-9.89E+00,1.07E+01
2.00E-01,1.53E-02,-8.99E-02,4.68E-02,-1.37E+00,1.37E+00,-3.09E+00,-3.69E+00,4.82E+00
2.17E-01,1.55E-02,-1.13E-01,-5.43E-03,-1.39E+00,1.39E+00,-3.49E+00,-3.98E+00,5.29E+00
2.34E-01,1.52E-02,-1.36E-01,-6.35E-02,-1.49E+00,1.49E+00,-7.66E+00,-5.52E+00,9.44E+00
2.50E-01,1.34E-02,-1.63E-01,-2.50E-01,-1.60E+00,1.62E+00,-3.27E+00,-4.42E+00,5.50E+00
