t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-8.22E-03,1.43E-02,,,,,,
3.33E-02,-8.39E-03,1.48E-02,-7.88E-03,8.32E-03,1.15E-02,,,
6.67E-02,-8.74E-03,1.49E-02,-1.38E-03,-2.66E-02,2.66E-02,3.31E-01,-2.60E+00,2.62E+00
1.00E-01,-8.48E-03,1.31E-02,1.61E-02,-1.57E-01,1.58E-01,9.85E-01,-4.54E+00,4.65E+00
1.33E-01,-7.67E-03,4.39E-03,6.01E-02,-3.43E-01,3.49E-01,3.28E+00,-6.47E+00,7.25E+00
1.67E-01,-4.47E-03,-9.82E-03,2.26E-01,-5.76E-01,6.18E-01,1.67E+00,-8.63E+00,8.79E+00
2.00E-01,7.37E-03,-3.40E-02,2.22E-01,-9.22E-01,9.48E-01,-1.60E+00,-9.54E+00,9.68E+00
2.33E-01,1.03E-02,-7.13E-02,6.58E-02,-1.23E+00,1.23E+00,-4.14E+00,-8.64E+00,9.58E+00
2.67E-01,1.17E-02,-1.16E-01,-3.10E-02,-1.48E+00,1.48E+00,-1.25E+00,-6.68E+00,6.80E+00
3.00E-01,8.27E-03,-1.70E-01,-4.40E-02,-1.69E+00,1.69E+00,3.28E-01,-4.86E+00,4.87E+00
3.33E-01,8.82E-03,-2.29E-01,1.83E-02,-1.80E+00,1.80E+00,1.10E+00,-2.67E+00,2.89E+00
3.67E-01,9.49E-03,-2.90E-01,2.14E-02,-1.87E+00,1.87E+00,3.92E-02,-2.16E+00,2.16E+00
4.00E-01,1.02E-02,-3.53E-01,2.11E-02,-1.94E+00,1.94E+00,-4.60E-01,-3.37E+00,3.40E+00
4.33E-01,1.09E-02,-4.19E-01,-6.09E-03,-2.09E+00,2.09E+00,-8.44E-01,-3.23E+00,3.34E+00
4.67E-01,9.84E-03,-4.92E-01,-4.10E-02,-2.18E+00,2.18E+00,-1.31E-01,-2.39E+00,2.40E+00
5.00E-01,8.17E-03,-5.64E-01,-1.83E-02,-2.22E+00,2.22E+00,4.05E-01,-1.64E+00,1.69E+00
5.33E-01,8.62E-03,-6.40E-01,-1.47E-03,-2.30E+00,2.30E+00,-6.89E-01,-1.10E+00,1.30E+00
5.67E-01,8.07E-03,-7.18E-01,-6.60E-02,-2.30E+00,2.30E+00,-2.62E-01,-1.67E+00,1.69E+00
6.00E-01,4.22E-03,-7.93E-01,-4.15E-02,-2.38E+00,2.38E+00,6.40E-01,-1.47E+00,1.60E+00
6.33E-01,5.31E-03,-8.77E-01,8.38E-03,-2.44E+00,2.44E+00,5.02E-01,-8.97E-01,1.03E+00
6.67E-01,4.78E-03,-9.56E-01,-2.43E-02,-2.41E+00,2.41E+00,-5.78E-02,9.78E-01,9.80E-01
7.00E-01,3.69E-03,-1.04E+00,7.59E-04,-2.40E+00,2.40E+00,1.10E+00,-5.83E-02,1.10E+00
7.33E-01,4.83E-03,-1.12E+00,5.64E-02,-2.39E+00,2.39E+00,,,
7.67E-01,7.45E-03,-1.20E+00,,,,,,
