t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-1.03E-02,3.25E-02,,,,,,
1.67E-02,-1.07E-02,3.26E-02,-2.17E-02,-1.22E-02,2.49E-02,,,
3.34E-02,-1.11E-02,3.21E-02,-2.77E-02,-2.12E-02,3.49E-02,-5.24E-01,-4.12E-01,6.67E-01
5.01E-02,-1.16E-02,3.19E-02,-3.91E-02,-2.10E-02,4.44E-02,3.59E-01,8.01E-01,8.78E-01
6.67E-02,-1.24E-02,3.14E-02,-2.08E-02,-9.78E-04,2.08E-02,8.38E-01,1.47E+00,1.70E+00
8.34E-02,-1.23E-02,3.18E-02,-1.94E-03,3.52E-02,3.53E-02,7.35E-01,1.27E+00,1.47E+00
1.00E-01,-1.24E-02,3.26E-02,-2.60E-03,4.09E-02,4.10E-02,-1.97E-01,-6.59E-01,6.88E-01
1.17E-01,-1.24E-02,3.32E-02,-4.74E-03,1.39E-02,1.47E-02,-4.84E-01,-1.54E+00,1.61E+00
1.33E-01,-1.26E-02,3.30E-02,-2.08E-02,-1.53E-02,2.58E-02,-3.85E-01,-9.63E-01,1.04E+00
1.50E-01,-1.31E-02,3.27E-02,-2.00E-02,-1.74E-02,2.65E-02,5.91E-01,4.28E-01,7.30E-01
1.67E-01,-1.32E-02,3.25E-02,8.85E-04,-6.80E-04,1.12E-03,1.03E+00,5.67E-01,1.18E+00
1.84E-01,-1.30E-02,3.27E-02,1.62E-02,5.38E-03,1.70E-02,4.16E-01,-1.25E+00,1.31E+00
2.00E-01,-1.27E-02,3.26E-02,1.46E-02,-4.02E-02,4.28E-02,-9.08E-02,-4.82E+00,4.82E+00
2.17E-01,-1.25E-02,3.13E-02,1.11E-02,-1.55E-01,1.55E-01,-1.45E+00,-9.28E+00,9.39E+00
2.34E-01,-1.23E-02,2.75E-02,-2.70E-02,-3.49E-01,3.50E-01,-6.81E-01,-1.32E+01,1.33E+01
2.50E-01,-1.34E-02,1.97E-02,-2.84E-02,-6.01E-01,6.01E-01,1.79E+00,-1.48E+01,1.49E+01
2.67E-01,-1.33E-02,7.43E-03,4.43E-02,-8.47E-01,8.48E-01,2.24E+01,-7.98E+00,2.38E+01
2.84E-01,-1.20E-02,-8.59E-03,6.44E-01,-8.90E-01,1.10E+00,1.36E+01,-1.20E+01,1.81E+01
3.00E-01,8.20E-03,-2.23E-02,7.24E-01,-1.16E+00,1.37E+00,-8.84E+00,-2.10E+01,2.28E+01
3.17E-01,1.22E-02,-4.73E-02,1.43E-01,-1.67E+00,1.68E+00,-2.12E+01,-2.36E+01,3.17E+01
3.34E-01,1.30E-02,-7.81E-02,5.66E-02,-1.94E+00,1.94E+00,-4.55E+00,-1.57E+01,1.63E+01
3.50E-01,1.41E-02,-1.12E-01,1.51E-02,-2.18E+00,2.18E+00,-4.38E+00,-1.69E+01,1.75E+01
3.67E-01,1.35E-02,-1.51E-01,-9.66E-02,-2.51E+00,2.51E+00,-6.26E+00,-1.67E+01,1.78E+01
3.84E-01,1.09E-02,-1.96E-01,-1.98E-01,-2.75E+00,2.76E+00,-2.55E+00,-1.16E+01,1.19E+01
4.00E-01,6.88E-03,-2.43E-01,-1.91E-01,-2.88E+00,2.88E+00,4.43E+00,-8.89E+00,9.94E+00
4.17E-01,4.47E-03,-2.92E-01,-4.49E-02,-3.04E+00,3.04E+00,5.44E+00,-6.01E+00,8.11E+00
4.34E-01,5.38E-03,-3.44E-01,1.70E-02,-3.11E+00,3.11E+00,2.22E-02,-2.41E+00,2.41E+00
4.50E-01,5.04E-03,-3.95E-01,-6.29E-02,-3.09E+00,3.09E+00,-2.74E+00,-4.02E+00,4.87E+00
4.67E-01,3.28E-03,-4.47E-01,-8.43E-02,-3.24E+00,3.24E+00,6.77E-01,-8.68E+00,8.70E+00
4.84E-01,2.23E-03,-5.03E-01,-3.25E-02,-3.40E+00,3.41E+00,1.81E+00,-5.67E+00,5.95E+00
5.01E-01,2.20E-03,-5.61E-01,-1.62E-02,-3.43E+00,3.43E+00,2.35E-01,-3.67E+00,3.67E+00
5.17E-01,1.69E-03,-6.18E-01,-3.28E-02,-3.50E+00,3.50E+00,7.58E+00,-5.81E+00,9.55E+00
5.34E-01,1.10E-03,-6.78E-01,2.04E-01,-3.65E+00,3.65E+00,1.38E+01,-1.21E+00,1.39E+01
5.51E-01,8.49E-03,-7.39E-01,4.90E-01,-3.56E+00,3.59E+00,5.38E+00,3.62E-01,5.39E+00
5.67E-01,1.75E-02,-7.96E-01,3.85E-01,-3.57E+00,3.59E+00,-7.99E+00,-5.30E+00,9.59E+00
5.84E-01,2.13E-02,-8.58E-01,1.81E-01,-3.78E+00,3.79E+00,-1.04E+01,-5.56E+00,1.18E+01
6.01E-01,2.35E-02,-9.23E-01,5.44E-02,-3.77E+00,3.77E+00,-6.32E+00,5.25E+00,8.21E+00
6.17E-01,2.31E-02,-9.84E-01,-4.14E-02,-3.59E+00,3.59E+00,-1.66E+01,3.67E+00,1.70E+01
6.34E-01,2.21E-02,-1.04E+00,-4.40E-01,-3.61E+00,3.64E+00,-9.35E+00,-6.63E+00,1.15E+01
6.51E-01,8.47E-03,-1.10E+00,-5.03E-01,-3.84E+00,3.87E+00,7.41E+00,-2.83E+00,7.93E+00
6.67E-01,5.31E-03,-1.17E+00,-6.65E-02,-3.75E+00,3.75E+00,1.81E+01,2.11E+00,1.82E+01
6.84E-01,6.25E-03,-1.23E+00,8.66E-02,-3.68E+00,3.68E+00,7.60E+00,-2.33E+00,7.95E+00
7.01E-01,8.20E-03,-1.29E+00,1.71E-01,-3.88E+00,3.88E+00,3.17E+00,-6.09E+00,6.86E+00
7.17E-01,1.19E-02,-1.36E+00,2.06E-01,-3.90E+00,3.90E+00,-1.45E+00,-1.12E-01,1.46E+00
7.34E-01,1.51E-02,-1.42E+00,1.19E-01,-3.85E+00,3.85E+00,-8.97E-01,-3.75E+00,3.85E+00
7.51E-01,1.59E-02,-1.49E+00,1.45E-01,-4.01E+00,4.02E+00,8.05E+00,-1.16E+00,8.13E+00
7.67E-01,1.99E-02,-1.56E+00,4.01E-01,-3.96E+00,3.98E+00,1.28E+01,5.50E+00,1.39E+01
7.84E-01,2.93E-02,-1.62E+00,5.99E-01,-3.75E+00,3.80E+00,-7.48E+00,4.57E+00,8.76E+00
8.01E-01,3.99E-02,-1.68E+00,2.01E-01,-3.82E+00,3.83E+00,-1.11E+01,-5.10E+00,1.22E+01
8.17E-01,3.60E-02,-1.75E+00,5.77E-02,-3.94E+00,3.94E+00,2.26E-01,4.88E-01,5.38E-01
8.34E-01,4.18E-02,-1.81E+00,3.54E-01,-3.83E+00,3.85E+00,1.53E+01,2.85E+00,1.56E+01
8.51E-01,4.78E-02,-1.87E+00,5.08E-01,-3.78E+00,3.81E+00,1.54E+01,-4.31E+00,1.60E+01
8.68E-01,5.88E-02,-1.94E+00,8.78E-01,-4.01E+00,4.10E+00,1.50E+01,-6.79E+00,1.65E+01
8.84E-01,7.71E-02,-2.01E+00,1.06E+00,-4.04E+00,4.18E+00,-1.76E+00,-8.25E-01,1.95E+00
9.01E-01,9.40E-02,-2.07E+00,8.05E-01,-3.98E+00,4.07E+00,-1.11E+01,-3.17E-01,1.11E+01
9.18E-01,1.04E-01,-2.14E+00,6.28E-01,-4.07E+00,4.12E+00,-9.48E+00,-4.91E+00,1.07E+01
9.34E-01,1.15E-01,-2.21E+00,5.44E-01,-4.15E+00,4.19E+00,-8.64E+00,-5.06E+00,1.00E+01
9.51E-01,1.22E-01,-2.28E+00,3.19E-01,-4.23E+00,4.25E+00,,,
9.68E-01,1.26E-01,-2.35E+00,,,,,,
