t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-5.18E-03,1.40E-02,,,,,,
3.33E-02,-5.30E-03,1.44E-02,-3.08E-03,-9.62E-03,1.01E-02,,,
6.67E-02,-5.38E-03,1.34E-02,-4.99E-03,-9.33E-02,9.34E-02,3.49E-01,-3.32E+00,3.34E+00
1.00E-01,-5.63E-03,8.19E-03,1.60E-02,-2.34E-01,2.35E-01,3.11E-01,-5.36E+00,5.37E+00
1.33E-01,-4.31E-03,-2.26E-03,2.49E-02,-4.46E-01,4.46E-01,1.95E+00,-6.59E+00,6.87E+00
1.67E-01,-3.97E-03,-2.15E-02,1.23E-01,-6.85E-01,6.96E-01,3.25E+00,-6.41E+00,7.18E+00
2.00E-01,3.87E-03,-4.79E-02,2.71E-01,-8.73E-01,9.14E-01,2.81E-01,-8.01E+00,8.02E+00
2.33E-01,1.41E-02,-7.97E-02,1.57E-01,-1.19E+00,1.20E+00,-3.48E+00,-7.67E+00,8.42E+00
2.67E-01,1.43E-02,-1.27E-01,-7.06E-03,-1.44E+00,1.44E+00,-2.54E+00,-5.73E+00,6.27E+00
3.00E-01,1.36E-02,-1.76E-01,1.46E-03,-1.53E+00,1.53E+00,7.37E-01,-3.13E+00,3.22E+00
3.33E-01,1.44E-02,-2.29E-01,4.75E-02,-1.66E+00,1.66E+00,1.18E+00,-3.73E+00,3.91E+00
3.67E-01,1.68E-02,-2.87E-01,8.17E-02,-1.77E+00,1.78E+00,1.00E+00,-3.48E+00,3.62E+00
4.00E-01,1.99E-02,-3.48E-01,1.12E-01,-1.90E+00,1.90E+00,5.78E-01,-2.83E+00,2.89E+00
4.33E-01,2.42E-02,-4.13E-01,1.25E-01,-1.97E+00,1.97E+00,3.63E-01,-2.61E+00,2.64E+00
4.67E-01,2.82E-02,-4.79E-01,1.30E-01,-2.05E+00,2.06E+00,5.67E-01,-1.94E+00,2.02E+00
5.00E-01,3.29E-02,-5.50E-01,1.63E-01,-2.12E+00,2.13E+00,8.84E-01,-1.30E+00,1.57E+00
5.33E-01,3.91E-02,-6.20E-01,1.93E-01,-2.13E+00,2.13E+00,5.70E+00,-1.04E+00,5.80E+00
5.67E-01,4.57E-02,-6.92E-01,5.00E-01,-2.19E+00,2.24E+00,-2.21E+00,-1.48E+00,2.66E+00
6.00E-01,7.24E-02,-7.66E-01,2.14E-01,-2.24E+00,2.25E+00,-2.05E+00,-1.41E+00,2.49E+00
6.33E-01,6.00E-02,-8.41E-01,8.72E-02,-2.27E+00,2.27E+00,-2.22E+00,1.17E+00,2.51E+00
