t,x,y,vx,vy,v,ax,ay,a
8.00E-01,-9.76E-03,2.20E-02,,,,,,
8.33E-01,-9.70E-03,2.16E-02,-1.79E-03,-3.62E-02,3.62E-02,,,
8.67E-01,-9.88E-03,1.96E-02,-8.01E-03,-6.09E-02,6.14E-02,-1.64E-01,8.14E-02,1.83E-01
9.00E-01,-1.02E-02,1.75E-02,-1.26E-02,-3.11E-02,3.35E-02,9.02E-02,6.47E-01,6.53E-01
9.33E-01,-1.07E-02,1.75E-02,-3.80E-03,-8.58E-03,9.38E-03,3.74E-01,-2.07E-02,3.75E-01
9.67E-01,-1.05E-02,1.70E-02,1.47E-02,-3.56E-02,3.85E-02,2.80E-01,-5.00E-01,5.73E-01
1.00E+00,-9.74E-03,1.51E-02,1.64E-02,-4.80E-02,5.07E-02,-2.80E-01,1.82E-01,3.34E-01
1.03E+00,-9.39E-03,1.38E-02,-4.60E-03,-2.09E-02,2.14E-02,-3.05E-01,1.21E+00,1.24E+00
1.07E+00,-1.00E-02,1.37E-02,-8.93E-03,3.18E-02,3.31E-02,1.99E-02,5.43E-01,5.44E-01
1.10E+00,-9.99E-03,1.59E-02,1.90E-03,2.77E-02,2.77E-02,3.44E-01,1.25E-02,3.44E-01
1.13E+00,-9.92E-03,1.56E-02,1.12E-02,1.36E-02,1.76E-02,-2.88E-01,-5.35E-01,6.08E-01
1.17E+00,-9.24E-03,1.68E-02,-1.03E-02,8.37E-03,1.33E-02,8.24E-03,8.68E-02,8.72E-02
1.20E+00,-1.06E-02,1.61E-02,-3.64E-03,4.09E-03,5.47E-03,8.08E-02,1.40E-02,8.20E-02
1.23E+00,-9.48E-03,1.71E-02,1.31E-02,2.16E-02,2.52E-02,2.00E-01,1.72E-01,2.63E-01
1.27E+00,-9.73E-03,1.76E-02,-2.30E-03,1.05E-02,1.07E-02,-2.74E-01,2.18E-01,3.50E-01
1.30E+00,-9.64E-03,1.78E-02,-3.05E-04,3.24E-02,3.24E-02,7.03E-02,4.37E-01,4.42E-01
1.33E+00,-9.75E-03,1.97E-02,1.86E-04,4.88E-02,4.88E-02,2.83E-01,3.18E-01,4.25E-01
1.37E+00,-9.62E-03,2.10E-02,1.80E-02,4.63E-02,4.97E-02,-1.73E-02,-2.67E-01,2.68E-01
1.40E+00,-8.55E-03,2.28E-02,6.24E-03,3.66E-02,3.71E-02,-5.08E-02,9.53E-02,1.08E-01
1.43E+00,-9.21E-03,2.35E-02,2.11E-03,4.36E-02,4.37E-02,1.10E-01,5.74E-01,5.84E-01
1.47E+00,-8.41E-03,2.57E-02,2.36E-02,8.18E-02,8.51E-02,2.79E-01,-1.54E-01,3.19E-01
1.50E+00,-7.64E-03,2.89E-02,1.82E-02,4.20E-02,4.58E-02,-2.99E-01,-1.70E+00,1.73E+00
1.53E+00,-7.20E-03,2.85E-02,3.66E-03,-4.49E-02,4.50E-02,-5.15E-02,-3.79E+00,3.79E+00
1.57E+00,-7.39E-03,2.59E-02,1.04E-02,-1.95E-01,1.95E-01,-4.84E-01,-8.01E+00,8.03E+00
1.60E+00,-6.50E-03,1.55E-02,-1.64E-02,-5.71E-01,5.72E-01,-4.61E-01,-1.35E+01,1.35E+01
1.63E+00,-8.49E-03,-1.22E-02,-3.81E-02,-1.11E+00,1.11E+00,1.03E-02,-1.44E+01,1.44E+01
1.67E+00,-9.04E-03,-5.87E-02,-5.05E-03,-1.55E+00,1.55E+00,4.67E-01,-1.09E+01,1.09E+01
1.70E+00,-8.82E-03,-1.16E-01,-5.03E-03,-1.83E+00,1.83E+00,5.26E+00,-7.81E+00,9.42E+00
1.73E+00,-9.37E-03,-1.80E-01,2.96E-01,-2.07E+00,2.09E+00,2.01E+00,-1.03E+01,1.05E+01
1.77E+00,1.09E-02,-2.53E-01,2.68E-01,-2.49E+00,2.50E+00,-2.94E+00,-1.08E+01,1.12E+01
1.80E+00,8.52E-03,-3.46E-01,-4.54E-02,-2.85E+00,2.85E+00,-5.61E+00,-8.35E+00,1.01E+01
1.83E+00,7.88E-03,-4.43E-01,-4.59E-02,-3.00E+00,3.00E+00,-2.07E-01,-4.21E+00,4.21E+00
1.87E+00,5.45E-03,-5.46E-01,-7.09E-02,-3.14E+00,3.14E+00,-2.13E-01,-4.10E+00,4.11E+00
