t,x,y,vx,vy,v,ax,ay,a
3.00E-01,-2.14E-03,1.77E-02,,,,,,
3.33E-01,-1.59E-03,1.78E-02,1.19E-02,1.29E-02,1.76E-02,,,
3.67E-01,-1.34E-03,1.86E-02,5.39E-03,4.46E-02,4.50E-02,-6.43E-02,6.27E-01,6.30E-01
4.00E-01,-1.23E-03,2.08E-02,7.18E-03,6.08E-02,6.12E-02,1.33E-01,-1.48E-01,1.99E-01
4.33E-01,-8.64E-04,2.26E-02,1.50E-02,3.28E-02,3.61E-02,9.33E-02,-7.01E-01,7.08E-01
4.67E-01,-2.25E-04,2.30E-02,1.47E-02,9.08E-03,1.73E-02,-1.93E-02,-4.38E-01,4.38E-01
5.00E-01,1.16E-04,2.32E-02,1.17E-02,6.15E-03,1.32E-02,-2.03E-01,3.62E-02,2.06E-01
5.33E-01,5.53E-04,2.34E-02,3.59E-03,1.08E-02,1.14E-02,1.72E-03,-1.55E-01,1.55E-01
5.67E-01,3.55E-04,2.39E-02,7.00E-03,-1.73E-04,7.00E-03,3.38E-01,-2.56E+00,2.58E+00
6.00E-01,1.02E-03,2.34E-02,2.98E-02,-1.47E-01,1.50E-01,3.74E-01,-7.68E+00,7.69E+00
6.33E-01,2.34E-03,1.41E-02,3.37E-02,-5.13E-01,5.14E-01,3.21E-01,-1.20E+01,1.20E+01
6.67E-01,3.27E-03,-1.08E-02,4.56E-02,-9.66E-01,9.67E-01,-2.27E-02,-1.43E+01,1.43E+01
7.00E-01,5.38E-03,-5.02E-02,4.13E-02,-1.46E+00,1.46E+00,2.96E+00,-1.11E+01,1.14E+01
7.33E-01,6.02E-03,-1.08E-01,2.07E-01,-1.75E+00,1.76E+00,5.92E-01,-1.09E+01,1.09E+01
7.67E-01,1.92E-02,-1.67E-01,1.70E-01,-2.10E+00,2.11E+00,-2.82E+00,-1.04E+01,1.08E+01
8.00E-01,1.73E-02,-2.48E-01,-7.01E-02,-2.52E+00,2.52E+00,-4.65E+00,-1.01E+01,1.11E+01
8.33E-01,1.45E-02,-3.35E-01,-1.09E-01,-2.73E+00,2.73E+00,6.69E-01,-4.97E+00,5.02E+00
8.67E-01,1.01E-02,-4.30E-01,-4.31E-02,-2.87E+00,2.87E+00,1.34E+00,-4.38E+00,4.58E+00
9.00E-01,1.16E-02,-5.27E-01,1.42E-02,-3.00E+00,3.00E+00,8.53E-01,-3.48E+00,3.58E+00
9.33E-01,1.10E-02,-6.30E-01,-9.67E-03,-3.13E+00,3.13E+00,1.58E+00,-2.76E+00,3.18E+00
9.67E-01,1.10E-02,-7.35E-01,1.11E-01,-3.17E+00,3.17E+00,2.50E+00,-3.77E+00,4.53E+00
1.00E+00,1.84E-02,-8.41E-01,1.92E-01,-3.36E+00,3.36E+00,2.06E+00,-7.46E-01,2.19E+00
1.03E+00,2.38E-02,-9.59E-01,2.16E-01,-3.30E+00,3.31E+00,-1.60E-01,4.23E+00,4.23E+00
1.07E+00,3.28E-02,-1.06E+00,2.10E-01,-3.00E+00,3.00E+00,-1.31E+00,3.20E+00,3.45E+00
1.10E+00,3.78E-02,-1.16E+00,1.10E-01,-3.07E+00,3.08E+00,4.55E-02,-2.90E+00,2.90E+00
1.13E+00,4.01E-02,-1.27E+00,1.93E-01,-3.24E+00,3.25E+00,3.10E+00,-4.25E+00,5.26E+00
1.17E+00,5.06E-02,-1.37E+00,3.52E-01,-3.33E+00,3.35E+00,3.06E+00,-1.98E+00,3.64E+00
1.20E+00,6.36E-02,-1.49E+00,3.89E-01,-3.39E+00,3.42E+00,1.76E+00,-1.97E+00,2.65E+00
1.23E+00,7.66E-02,-1.60E+00,4.55E-01,-3.44E+00,3.47E+00,1.62E+00,-2.15E+00,2.69E+00
1.27E+00,9.39E-02,-1.72E+00,5.16E-01,-3.55E+00,3.58E+00,-7.06E-01,-1.37E+00,1.54E+00
1.30E+00,1.11E-01,-1.84E+00,4.12E-01,-3.55E+00,3.57E+00,-7.86E-01,-2.07E+00,2.21E+00
1.33E+00,1.21E-01,-1.95E+00,4.20E-01,-3.64E+00,3.67E+00,2.73E+00,-2.82E+00,3.92E+00
1.37E+00,1.39E-01,-2.08E+00,6.25E-01,-3.78E+00,3.84E+00,3.39E+00,-2.37E+00,4.14E+00
1.40E+00,1.63E-01,-2.21E+00,6.66E-01,-3.78E+00,3.84E+00,,,
1.43E+00,1.83E-01,-2.33E+00,,,,,,
