t,x,y,vx,vy,v,ax,ay,a
2.84E-01,-4.86E-03,3.40E-02,,,,,,
3.00E-01,-4.61E-03,3.50E-02,1.03E-03,5.36E-02,5.36E-02,,,
3.17E-01,-4.83E-03,3.58E-02,-1.22E-02,2.87E-02,3.12E-02,-6.90E-01,-2.22E+00,2.32E+00
3.34E-01,-5.02E-03,3.60E-02,-1.88E-02,-1.97E-02,2.72E-02,-4.68E-01,-2.59E+00,2.63E+00
3.50E-01,-5.45E-03,3.52E-02,-2.95E-02,-6.25E-02,6.92E-02,-7.42E-01,-3.77E+00,3.85E+00
3.67E-01,-6.00E-03,3.39E-02,-4.22E-02,-1.36E-01,1.42E-01,-3.09E-01,-7.18E+00,7.18E+00
3.84E-01,-6.86E-03,3.06E-02,-4.31E-02,-3.03E-01,3.06E-01,-9.79E-01,-1.22E+01,1.22E+01
4.00E-01,-7.44E-03,2.38E-02,-6.66E-02,-5.45E-01,5.49E-01,-2.20E+00,-1.67E+01,1.68E+01
4.17E-01,-9.08E-03,1.24E-02,-1.23E-01,-8.59E-01,8.67E-01,-2.73E+00,-1.87E+01,1.89E+01
4.34E-01,-1.16E-02,-4.84E-03,-1.59E-01,-1.18E+00,1.19E+00,2.38E+00,-1.42E+01,1.44E+01
4.50E-01,-1.44E-02,-2.69E-02,-5.92E-02,-1.34E+00,1.35E+00,2.69E+01,1.00E+01,2.87E+01
4.67E-01,-1.35E-02,-4.97E-02,6.82E-01,-8.98E-01,1.13E+00,1.34E+01,2.23E-01,1.34E+01
4.84E-01,8.36E-03,-5.69E-02,6.47E-01,-1.10E+00,1.28E+00,-1.31E+01,-2.41E+01,2.74E+01
5.01E-01,8.05E-03,-8.65E-02,-3.38E-02,-1.94E+00,1.94E+00,-2.44E+01,-3.83E+01,4.54E+01
5.17E-01,7.24E-03,-1.22E-01,-7.18E-02,-2.30E+00,2.30E+00,-2.33E+00,-1.87E+01,1.88E+01
5.34E-01,5.65E-03,-1.63E-01,-1.13E-01,-2.59E+00,2.59E+00,-2.36E+00,-1.55E+01,1.57E+01
5.51E-01,3.45E-03,-2.08E-01,-1.50E-01,-2.79E+00,2.80E+00,-2.11E+00,-1.57E+01,1.59E+01
5.67E-01,6.48E-04,-2.57E-01,-1.84E-01,-3.11E+00,3.12E+00,-6.38E-01,-1.30E+01,1.30E+01
5.84E-01,-2.70E-03,-3.12E-01,-1.77E-01,-3.27E+00,3.27E+00,3.98E+00,-3.69E+00,5.43E+00
6.01E-01,-5.25E-03,-3.66E-01,-5.60E-02,-3.20E+00,3.20E+00,6.03E+00,-2.27E+00,6.44E+00
