t,x,y,vx,vy,v,ax,ay,a
4.33E-01,-4.27E-03,1.59E-02,,,,,,
4.67E-01,-6.28E-04,8.93E-03,1.20E-01,-4.35E-01,4.51E-01,,,
5.00E-01,3.75E-03,-1.31E-02,4.16E-01,-8.95E-01,9.88E-01,2.54E+00,-1.38E+01,1.40E+01
5.33E-01,2.71E-02,-5.08E-02,4.11E-01,-1.36E+00,1.42E+00,-2.31E+00,-1.47E+01,1.49E+01
5.67E-01,3.11E-02,-1.04E-01,1.36E-01,-1.87E+00,1.87E+00,-6.05E+00,-1.60E+01,1.71E+01
6.00E-01,3.62E-02,-1.75E-01,6.59E-02,-2.43E+00,2.43E+00,-4.45E+00,-1.13E+01,1.21E+01
6.33E-01,3.55E-02,-2.66E-01,-1.67E-01,-2.67E+00,2.67E+00,-1.41E+00,-5.17E+00,5.36E+00
6.67E-01,2.51E-02,-3.53E-01,-8.91E-02,-2.71E+00,2.71E+00,3.44E+00,-3.66E+00,5.02E+00
7.00E-01,2.96E-02,-4.46E-01,1.46E-01,-2.92E+00,2.93E+00,4.73E+00,-5.30E+00,7.10E+00
7.33E-01,3.48E-02,-5.48E-01,1.92E-01,-3.08E+00,3.09E+00,1.01E+00,-4.83E+00,4.93E+00
7.67E-01,4.24E-02,-6.52E-01,2.22E-01,-3.22E+00,3.23E+00,2.25E+00,-3.24E+00,3.94E+00
8.00E-01,4.96E-02,-7.62E-01,3.20E-01,-3.32E+00,3.34E+00,1.91E+00,-2.67E+00,3.28E+00
8.33E-01,6.38E-02,-8.73E-01,3.85E-01,-3.37E+00,3.40E+00,1.55E-01,-2.02E+00,2.03E+00
8.67E-01,7.53E-02,-9.87E-01,3.10E-01,-3.47E+00,3.48E+00,-5.49E-01,-1.65E+00,1.74E+00
9.00E-01,8.44E-02,-1.10E+00,3.35E-01,-3.49E+00,3.51E+00,1.57E+00,-1.21E+00,1.98E+00
9.33E-01,9.76E-02,-1.22E+00,4.32E-01,-3.53E+00,3.56E+00,6.45E+00,3.33E-01,6.46E+00
9.67E-01,1.13E-01,-1.34E+00,7.29E-01,-3.50E+00,3.58E+00,1.99E+00,-6.95E-01,2.11E+00
1.00E+00,1.46E-01,-1.45E+00,6.79E-01,-3.53E+00,3.59E+00,-4.93E+00,-2.09E+00,5.35E+00
1.03E+00,1.58E-01,-1.57E+00,2.86E-01,-3.68E+00,3.69E+00,-3.60E+00,-2.09E+00,4.16E+00
1.07E+00,1.65E-01,-1.70E+00,4.28E-01,-3.67E+00,3.69E+00,4.67E+00,3.81E+00,6.03E+00
1.10E+00,1.87E-01,-1.82E+00,6.70E-01,-3.43E+00,3.50E+00,-2.78E+00,2.91E+00,4.02E+00
1.13E+00,2.10E-01,-1.93E+00,2.76E-01,-3.41E+00,3.42E+00,-3.27E+00,-2.24E+00,3.97E+00
1.17E+00,2.05E-01,-2.05E+00,2.73E-01,-3.64E+00,3.65E+00,4.62E+00,-6.40E+00,7.89E+00
1.20E+00,2.28E-01,-2.17E+00,7.50E-01,-3.82E+00,3.89E+00,5.82E+00,-2.08E+00,6.18E+00
1.23E+00,2.55E-01,-2.30E+00,6.46E-01,-3.81E+00,3.87E+00,,,
1.27E+00,2.71E-01,-2.42E+00,,,,,,
