t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-1.52E-03,1.43E-02,,,,,,
3.33E-02,-2.43E-03,1.46E-02,-2.66E-02,2.85E-03,2.68E-02,,,
6.67E-02,-3.30E-03,1.45E-02,-1.60E-02,-1.37E-02,2.11E-02,-1.53E-02,-8.68E-01,8.68E-01
1.00E-01,-3.49E-03,1.37E-02,-2.25E-02,-5.28E-02,5.74E-02,9.03E-01,-2.58E+00,2.73E+00
1.33E-01,-4.79E-03,1.10E-02,2.84E-02,-1.79E-01,1.81E-01,8.19E-01,-4.16E+00,4.24E+00
1.67E-01,-1.60E-03,1.80E-03,5.91E-02,-3.44E-01,3.49E-01,-2.57E+00,-8.42E+00,8.80E+00
2.00E-01,-8.57E-04,-1.20E-02,-1.40E-01,-7.04E-01,7.18E-01,-2.21E+00,-8.57E+00,8.85E+00
2.33E-01,-1.09E-02,-4.51E-02,-1.51E-01,-9.89E-01,1.00E+00,9.16E+00,-2.29E+00,9.44E+00
2.67E-01,-1.09E-02,-7.79E-02,4.70E-01,-8.35E-01,9.58E-01,6.56E+00,-4.37E+00,7.88E+00
3.00E-01,2.04E-02,-1.01E-01,4.67E-01,-1.17E+00,1.26E+00,-6.22E+00,-1.04E+01,1.21E+01
3.33E-01,2.02E-02,-1.56E-01,-1.29E-01,-1.68E+00,1.69E+00,-1.09E+01,-1.01E+01,1.48E+01
3.67E-01,1.18E-02,-2.13E-01,-2.29E-01,-1.77E+00,1.79E+00,3.11E-01,-2.84E+00,2.86E+00
4.00E-01,4.94E-03,-2.74E-01,-9.96E-02,-1.88E+00,1.88E+00,7.16E+00,-1.46E+00,7.30E+00
4.33E-01,5.19E-03,-3.38E-01,2.42E-01,-1.88E+00,1.90E+00,7.89E-01,-2.35E+00,2.48E+00
4.67E-01,2.11E-02,-3.99E-01,6.37E-02,-1.99E+00,1.99E+00,-3.49E+00,-2.18E+00,4.11E+00
5.00E-01,9.43E-03,-4.71E-01,-1.68E-01,-2.09E+00,2.09E+00,-2.58E+00,-2.13E+00,3.34E+00
5.33E-01,9.89E-03,-5.39E-01,4.07E-03,-2.09E+00,2.09E+00,2.83E+00,-4.25E-01,2.87E+00
5.67E-01,9.71E-03,-6.10E-01,-7.13E-03,-2.14E+00,2.14E+00,4.46E+00,-4.76E-03,4.46E+00
6.00E-01,9.41E-03,-6.81E-01,2.64E-01,-2.08E+00,2.10E+00,2.85E+00,1.16E-01,2.85E+00
6.33E-01,2.73E-02,-7.49E-01,2.95E-01,-2.11E+00,2.13E+00,-2.48E+00,-5.75E-01,2.55E+00
6.67E-01,2.91E-02,-8.22E-01,-1.42E-03,-2.16E+00,2.16E+00,-8.73E+00,-2.66E+00,9.13E+00
7.00E-01,2.72E-02,-8.93E-01,-2.42E-01,-2.25E+00,2.26E+00,-1.33E+00,-1.33E+00,1.88E+00
7.33E-01,1.30E-02,-9.72E-01,-1.71E-01,-2.30E+00,2.30E+00,5.11E+00,1.19E-01,5.11E+00
7.67E-01,1.58E-02,-1.05E+00,1.84E-01,-2.20E+00,2.21E+00,4.77E+00,1.53E+00,5.01E+00
8.00E-01,2.52E-02,-1.12E+00,1.57E-01,-2.20E+00,2.20E+00,,,
8.33E-01,2.62E-02,-1.19E+00,,,,,,
