t,x,y,vx,vy,v,ax,ay,a
0.00E+00,-2.73E-03,2.89E-02,,,,,,
1.67E-02,-2.92E-03,3.09E-02,2.31E-02,1.01E-01,1.03E-01,,,
3.34E-02,-1.96E-03,3.22E-02,4.13E-02,4.07E-02,5.80E-02,9.18E-01,-4.17E+00,4.27E+00
5.01E-02,-1.54E-03,3.22E-02,4.19E-02,-4.17E-02,5.91E-02,1.61E-01,-6.03E+00,6.03E+00
6.67E-02,-5.67E-04,3.08E-02,5.44E-02,-1.56E-01,1.65E-01,2.76E-01,-8.65E+00,8.65E+00
8.34E-02,2.72E-04,2.70E-02,4.79E-02,-3.31E-01,3.34E-01,1.37E+00,-1.05E+01,1.06E+01
1.00E-01,1.03E-03,1.98E-02,9.32E-02,-5.13E-01,5.21E-01,2.51E+01,-5.91E+00,2.58E+01
1.17E-01,3.38E-03,9.89E-03,8.06E-01,-5.44E-01,9.72E-01,1.14E+01,-1.16E+01,1.63E+01
1.33E-01,2.79E-02,1.66E-03,7.58E-01,-8.28E-01,1.12E+00,-1.28E+01,-2.78E+01,3.06E+01
1.50E-01,2.87E-02,-1.77E-02,7.48E-02,-1.52E+00,1.52E+00,-2.17E+01,-3.12E+01,3.80E+01
1.67E-01,3.04E-02,-4.91E-02,1.40E-01,-1.92E+00,1.92E+00,2.76E+00,-1.99E+01,2.01E+01
1.84E-01,3.33E-02,-8.18E-02,1.73E-01,-2.12E+00,2.13E+00,-6.40E-02,-1.27E+01,1.27E+01
2.00E-01,3.62E-02,-1.20E-01,1.37E-01,-2.37E+00,2.38E+00,-3.87E+00,-1.15E+01,1.21E+01
2.17E-01,3.79E-02,-1.61E-01,4.31E-02,-2.50E+00,2.50E+00,-7.85E+00,-1.24E+01,1.47E+01
2.34E-01,3.76E-02,-2.03E-01,-1.22E-01,-2.76E+00,2.76E+00,-7.75E+00,-1.74E+01,1.90E+01
2.50E-01,3.38E-02,-2.53E-01,-2.36E-01,-3.12E+00,3.12E+00,-3.41E+00,-1.19E+01,1.24E+01
2.67E-01,2.98E-02,-3.07E-01,-2.26E-01,-3.18E+00,3.18E+00,3.30E+00,-1.79E+00,3.76E+00
2.84E-01,2.63E-02,-3.59E-01,-1.30E-01,-3.13E+00,3.13E+00,5.75E+00,-2.40E+00,6.23E+00
3.00E-01,2.54E-02,-4.12E-01,-1.92E-02,-3.26E+00,3.26E+00,5.19E+00,-6.19E+00,8.07E+00
3.17E-01,2.57E-02,-4.68E-01,3.78E-02,-3.36E+00,3.36E+00,3.23E+00,-2.52E+00,4.10E+00
3.34E-01,2.67E-02,-5.24E-01,8.72E-02,-3.33E+00,3.33E+00,2.97E-01,-2.73E+00,2.75E+00
3.50E-01,2.86E-02,-5.79E-01,5.91E-02,-3.43E+00,3.43E+00,1.05E+00,-7.13E+00,7.20E+00
3.67E-01,2.87E-02,-6.38E-01,9.11E-02,-3.60E+00,3.60E+00,-2.48E-01,-5.69E+00,5.70E+00
3.84E-01,3.16E-02,-6.99E-01,9.46E-02,-3.62E+00,3.62E+00,-1.25E+00,-3.90E+00,4.10E+00
4.00E-01,3.18E-02,-7.59E-01,1.36E-02,-3.70E+00,3.70E+00,-1.12E+00,-6.87E+00,6.96E+00
4.17E-01,3.21E-02,-8.22E-01,6.22E-02,-3.88E+00,3.88E+00,1.40E+00,-6.00E+00,6.16E+00
4.34E-01,3.39E-02,-8.88E-01,7.84E-02,-3.91E+00,3.91E+00,-8.70E-01,-3.54E+00,3.65E+00
4.50E-01,3.47E-02,-9.53E-01,2.10E-02,-3.96E+00,3.96E+00,1.33E+00,-7.59E+00,7.70E+00
4.67E-01,3.46E-02,-1.02E+00,1.04E-01,-4.18E+00,4.18E+00,1.47E+01,1.48E+01,2.09E+01
4.84E-01,3.82E-02,-1.09E+00,5.05E-01,-3.59E+00,3.63E+00,1.09E+01,1.75E+01,2.06E+01
5.01E-01,5.14E-02,-1.14E+00,5.69E-01,-3.31E+00,3.36E+00,-3.66E+01,-1.60E+00,3.66E+01
5.17E-01,5.71E-02,-1.20E+00,-6.77E-01,-3.85E+00,3.91E+00,-2.11E+01,-2.07E+01,2.95E+01
5.34E-01,2.88E-02,-1.27E+00,-5.56E-01,-3.97E+00,4.01E+00,6.44E+00,-3.18E+00,7.19E+00
5.51E-01,3.86E-02,-1.33E+00,8.15E-02,-3.95E+00,3.95E+00,2.65E+01,-2.20E+00,2.66E+01
5.67E-01,3.15E-02,-1.40E+00,-3.45E-02,-4.02E+00,4.02E+00,2.63E+00,-2.79E+00,3.83E+00
5.84E-01,3.74E-02,-1.47E+00,3.52E-01,-4.08E+00,4.09E+00,1.18E+01,1.41E+00,1.19E+01
6.01E-01,4.33E-02,-1.54E+00,3.10E-01,-3.96E+00,3.97E+00,-1.20E+01,2.85E+00,1.23E+01
6.17E-01,4.78E-02,-1.60E+00,-1.90E-02,-3.96E+00,3.96E+00,-2.11E+00,-4.29E+00,4.78E+00
6.34E-01,4.27E-02,-1.67E+00,1.04E-01,-4.12E+00,4.12E+00,3.81E+00,-9.05E+00,9.82E+00
6.51E-01,5.12E-02,-1.74E+00,2.97E-01,-4.27E+00,4.28E+00,3.39E+00,3.99E+00,5.24E+00
6.67E-01,5.26E-02,-1.81E+00,9.46E-02,-4.03E+00,4.03E+00,2.39E+00,1.85E+01,1.87E+01
6.84E-01,5.44E-02,-1.87E+00,3.75E-01,-3.58E+00,3.60E+00,7.82E+00,1.44E+01,1.64E+01
7.01E-01,6.51E-02,-1.93E+00,4.56E-01,-3.53E+00,3.56E+00,-2.74E+00,-2.84E+00,3.95E+00
7.17E-01,6.96E-02,-1.99E+00,2.02E-01,-3.72E+00,3.72E+00,-1.32E+01,-1.32E+01,1.87E+01
7.34E-01,7.18E-02,-2.05E+00,3.59E-02,-3.96E+00,3.96E+00,-3.82E+00,-1.36E+01,1.41E+01
7.51E-01,7.08E-02,-2.12E+00,4.20E-02,-4.19E+00,4.19E+00,1.75E+00,-7.06E+00,7.27E+00
7.67E-01,7.32E-02,-2.19E+00,1.39E-01,-4.20E+00,4.20E+00,4.10E+00,7.45E+00,8.51E+00
7.84E-01,7.54E-02,-2.26E+00,1.58E-01,-3.94E+00,3.94E+00,3.48E+00,4.11E+00,5.38E+00
8.01E-01,7.85E-02,-2.33E+00,2.54E-01,-3.99E+00,3.99E+00,,,
